NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
gpu-04.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.144    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-05.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.145    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-06.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.146    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-07.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.147    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-08.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.148    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-09.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.149    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-10.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.150    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-11.nrp.mghpcc.org                      Ready                         <none>                 118d     v1.23.14   192.69.103.151    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-12.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.152    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-13.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.153    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-14.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.154    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-15.nrp.mghpcc.org                      Ready                         <none>                 116d     v1.23.14   192.69.103.155    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-16.nrp.mghpcc.org                      Ready                         <none>                 118d     v1.23.14   192.69.103.156    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-17.nrp.mghpcc.org                      Ready                         <none>                 118d     v1.23.14   192.69.103.157    <none>        Ubuntu 20.04.5 LTS      5.4.0-136-generic               containerd://1.5.9              us-east
